state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Hessen,176,Hochtaunus,250300,218900,31400,3579290,57318,27206,10012,144609,16132,0.11155598890802094,0,7
Hessen,177,Wetterau I,237700,211000,26699,4135979,45400,22008,10696,137220,15895,0.11583588398192683,0,7
Hessen,178,Rheingau-Taunus – Limburg,294000,262700,31300,3351600,52332,22673,14112,171621,20364,0.11865680773331935,0,7
Hessen,179,Wiesbaden,276200,227900,48299,745740,93355,22243,20162,138226,15496,0.11210626076136183,0,7
Hessen,180,Hanau,254200,213200,41000,3507960,62533,21744,11947,132320,18625,0.14075725513905682,0,7
Hessen,181,Main-Taunus,278000,237200,40800,3753000,71446,26355,10563,158860,16395,0.1032040790633262,0,7
Hessen,182,Frankfurt am Main I,365100,250000,115100,5987639,161374,20555,22636,143049,13329,0.09317786213115785,0,7
Hessen,183,Frankfurt am Main II,367600,277400,90200,6028639,162479,20555,22791,170775,13737,0.08043917435221783,0,7
Hessen,184,Groß-Gerau,266000,213400,52599,5054000,85386,20066,15427,131180,15943,0.12153529501448392,0,7
Hessen,185,Offenbach,355200,267800,87399,6251520,130713,20901,23443,161293,19051,0.11811423930362756,0,7
Hessen,186,Darmstadt,341800,289700,52100,6425840,91944,22135,17773,190532,18685,0.0980675162177482,0,7
Hessen,187,Odenwald,319200,279700,39500,5266800,80119,22034,15640,182234,22259,0.12214515403272715,0,7
Hessen,188,Bergstraße,266900,236100,30799,3950120,48575,22341,10142,154080,19931,0.1293548805815161,0,7
Thüringen,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,263800,256500,7300,2057639,7386,17475,18993,155929,32854,0.21069845891399291,1,16
Thüringen,190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,273300,264300,9000,3088290,8199,18020,18584,160880,35821,0.22265663848831427,1,16
Thüringen,191,Jena – Sömmerda – Weimarer Land I,255800,244200,11600,2506840,10487,17558,15348,153336,30421,0.19839437574998695,1,16
Thüringen,192,Gotha – Ilm-Kreis,246500,235000,11500,3401700,9860,17733,15283,145876,35093,0.24056733115796977,1,16
Thüringen,193,Erfurt – Weimar – Weimarer Land II,280700,264000,16699,4968389,18526,17262,19087,166151,30166,0.18155773964646615,1,16
Thüringen,194,Gera – Greiz – Altenburger Land,289500,280500,9000,3010800,8974,18134,24897,174394,47274,0.27107583976512956,1,16
Thüringen,195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,278400,269000,9399,3535679,6681,18365,16982,169716,43739,0.25771877725140824,1,16
Thüringen,196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,282700,273900,8800,2063710,7067,18845,13286,168007,38677,0.23021064598498872,1,16
Rheinland-Pfalz,197,Neuwied,309800,287000,22800,3407800,63818,21726,16419,179082,19273,0.10762108978010074,0,11
Rheinland-Pfalz,198,Ahrweiler,246400,230100,16300,2784320,39670,22014,9856,149988,14436,0.09624769981598529,0,11
Rheinland-Pfalz,199,Koblenz,257200,234100,23099,2957799,50668,21059,12860,149622,13697,0.09154402427450509,0,11
Rheinland-Pfalz,200,Mosel/Rhein-Hunsrück,219500,205400,14099,2151100,34242,22334,8999,133703,12022,0.08991570869763581,0,11
Rheinland-Pfalz,201,Kreuznach,237400,219400,18000,2184080,42019,21362,15193,138198,16195,0.11718693468791155,0,11
Rheinland-Pfalz,202,Bitburg,215200,196900,18299,2195039,29482,21839,8392,125050,10058,0.08043182726909236,0,11
Rheinland-Pfalz,203,Trier,262900,230900,31999,9911330,40223,21106,11041,149881,11926,0.07956979203501445,0,11
Rheinland-Pfalz,204,Montabaur,272600,251700,20900,3625580,47705,22579,9813,161759,17822,0.11017624985317664,0,11
Rheinland-Pfalz,205,Mainz,343900,295700,48199,5915079,82535,22918,18570,200879,16535,0.08231323333947302,0,11
Rheinland-Pfalz,206,Worms,284100,256399,27700,3409200,57672,22393,14773,167663,21978,0.1310843775907624,0,11
Rheinland-Pfalz,207,Ludwigshafen/Frankenthal,314600,261200,53400,2674100,96267,20614,21392,159499,24644,0.15450880569784137,0,11
